bday	opening_date	role	actor	director	company	venue	gender	race
1869-08-09T00:00:00	1936-04-20T00:00:00	Lear	Randle Ayrton	Theodore Komisarjevsky	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	
1813-12-27T00:00:00	1883-04-23T00:00:00	King Lear	William Creswick	Elliot Galer	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	
1969-04-23T00:00:00	1924-07-16T00:00:00	King Lear	Arthur Phillips	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	
person not found on wiki	1906-05-08T00:00:00	Lear	Benson	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	
1914-07-24T00:00:00	1962-08-13T00:00:00	Lear	Frank Silvera	Joseph Papp	Joseph Papp Public Theater/New York Shakespeare Festival	Delacorte Theater	male	
person not found on wiki	1890-04-24T00:00:00	King Lear	Osmond Tearle	Osmond Tearle	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	
person not found on wiki	1906-05-08T00:00:00	Lear	F R Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	
1908-03-20T00:00:00	1953-07-14T00:00:00	King Lear	Michael Redgrave	George Devine	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	
person not found on wiki	1968-11-29T00:00:00	King Lear	Sterling Jensen	Gene Feist	Roundabout Theatre Company	Roundabout Stage II	unknown	
1931-01-17T00:00:00	1973-07-26T00:00:00	Lear	James Earl Jones	Edwin Sherin	Joseph Papp Public Theater/New York Shakespeare Festival	Delacorte Theater	male	Black,Black,Black
no birthday on article	1922-01-01T00:00:00	Lear	Russell Thorndike	Robert Atkins	Old Vic	Old Vic, London	male	
person not found on wiki	1970-03-14T00:00:00	King Lear	Roger Hume	Caroline Smith	Salisbury Playhouse	Salisbury Playhouse	unknown	
person not found on wiki	1902-04-19T00:00:00	Lear	Benson	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	
1908-06-10T00:00:00	1974-01-01T00:00:00	King Lear	Robert Eddison	director unknown	The Actors Company	Tour	male	
1928-04-08T00:00:00	1955-01-01T00:00:00	King Lear	Eric Porter	John Moody	unknown production company	Bristol Old Vic	male	
1917-03-22T00:00:00	1957-01-01T00:00:00	Lear	Paul Rogers	Douglas Seale	unknown production company	Old Vic, London	unknown	
person not found on wiki	1904-04-25T00:00:00	Lear	F R Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	
1922-01-21T00:00:00	1962-12-12T00:00:00	King Lear	Paul Scofield	Peter Brook	Royal Shakespeare Company	Aldwych Theatre, London	male	
1930-05-11T00:00:00	1975-02-22T00:00:00	Lear	Tony Church	Buzz Goodbody	Royal Shakespeare Company	Tour	male	
