bday	opening_date	role	actor	director	company	venue	gender	race	actor_flag	ethnicities
1859-08-16T00:00:00	1902-12-01T00:00:00	Marc Antony	Arthur Forrest	director unknown	Richard Mansfield	Herald Square Theatre	unknown	unknown		
1859-12-06T00:00:00	1909-11-06T00:00:00	Antony	E. H. Sothern	director unknown	Messrs. Shubert	New Theatre	male	none	yes	
person not found on wiki	1910-01-17T00:00:00	Marc Antony	Douglas J. Wood	director unknown	Ben Greet Repertory	Garden Theatre	unknown	unknown		
person not found on wiki	1912-08-09T00:00:00	Mark Antony	F R Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown		
1868-02-12T00:00:00	1912-11-04T00:00:00	Marc Antony	William Faversham	director unknown	William Faversham	Lyric Theatre	male	none	yes	
1884-12-19T00:00:00	1921-04-23T00:00:00	Mark Antony	Edmund Willard	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes	
1882-01-31T00:00:00	1922-01-16T00:00:00	Marc Antony	Fritz Leiber	director unknown	unknown production company	48th Street Theatre	male	none		
person not found on wiki	1924-02-19T00:00:00	Antony	Rollo Peters	Frank Reicher	The Selwyns	Lyceum Theatre	unknown	unknown		
1787-02-26T00:00:00	1927-06-06T00:00:00	Marc Antony	James Rennie	John Craig	The Players Club	New Amsterdam Theatre	unknown	none	flagged	
1904-04-14T00:00:00	1930-11-24T00:00:00	Antony	John Gielgud	Harcourt Williams	Old Vic Co.	Old Vic, London	male	none	yes	Lithuanian,Polish
1893-10-09T00:00:00	1935-04-15T00:00:00	Antony	Roy Emerton	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes	
1878-05-17T00:00:00	1937-11-10T00:00:00	Antony	Conway Tearle	Reginald Bach	Laurence Rivers, Inc.	Mansfield Theatre	male	none	yes	English
1903-10-01T00:00:00	1937-11-11T00:00:00	Marc Antony	George Coulouris	Orson Welles	Orson Welles and John Houseman	Mercury Theatre	male	none	yes	Greek,Greek
1884-10-12T00:00:00	1947-11-26T00:00:00	Antony	Godfrey Tearle	director unknown	Katharine Cornell	Martin Beck Theatre	male	none	yes	
1916-01-05T00:00:00	1950-06-20T00:00:00	Marc Antony	Alfred Ryder	Dan Levin	David Heilweil and Derrick Lynn-Thomas	Arena Theatre	male	none	yes	Russian-Jewish
1907-05-22T00:00:00	1951-05-11T00:00:00	Antony	Laurence Olivier	Michael Benthall	unknown production company	St James Theatre, London	male	none	yes	English,Huguenot
1919-10-05T00:00:00	1952-01-01T00:00:00	Mark Antony	Robin Bailey	Hugh Hunt	unknown production company	Old Vic, London	male	none	yes	
1908-03-20T00:00:00	1953-01-01T00:00:00	Antony	Michael Redgrave	Glen Byam Shaw	unknown production company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes	English
1925-05-02T00:00:00	1955-01-01T00:00:00	Mark Antony	John Neville	Michael Benthall	unknown production company	Old Vic, London	male	none	yes	
1928-02-26T00:00:00	1955-06-27T00:00:00	Mark Antony	Donald Davis	Michael Langham	Stratford Festival	Festival Outdoor Tent (Canada)	male	none	yes	British
1926-12-01T00:00:00	1956-01-01T00:00:00	Antony	Keith Michell	Robert Helpmann	unknown production company	Old Vic, London	male	none	yes	
1927-07-30T00:00:00	1957-05-28T00:00:00	Mark Antony	Richard Johnson	Glen Byam Shaw	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes	
1927-08-21T00:00:00	1961-03-18T00:00:00	Mark Antony	Tony Steedman	Bernard Hepton	unknown production company	Birmingham Repertory Theatre	male	none	yes	
1920-01-20T00:00:00	1963-06-13T00:00:00	Mark Antony	Michael Higgins	Joseph Papp	unknown production company	Delacorte Theater	male	none	yes	
1933-10-10T00:00:00	1964-01-01T00:00:00	Mark Antony	Daniel Massey	Lindsay Anderson	unknown production company	Royal Court Theatre	male	none	yes	
1928-05-07T00:00:00	1965-06-16T00:00:00	Mark Antony	Bruno Gerussi	Douglas Campbell	Stratford Festival	Festival Theatre (Canada)	male	none	yes	Italian,Italian
1929-12-13T00:00:00	1967-10-17T00:00:00	Mark Antony	Christopher Plummer	Michael Langham	Stratford Festival	Expo Theater (Canada)	male	none	yes	English,Scottish
1910-04-25T00:00:00	1969-01-01T00:00:00	Antony	John Clements	Peter Dews	unknown production company	Chichester Festival Theatre	male	none	yes	
1927-07-30T00:00:00	1972-08-15T00:00:00	Mark Antony	Richard Johnson	Euan Smith	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	male	none	yes	
1944-04-08T00:00:00	1972-08-17T00:00:00	Mark Antony	Hywel Bennett	Peter James	National Theatre at the Young Vic	Young Vic, London	male	none	yes	
1927-07-30T00:00:00	1973-10-23T00:00:00	Mark Antony	Richard Johnson	Trevor Nunn	Royal Shakespeare Company	Aldwych Theatre, London	male	none	yes	
1933-04-29T00:00:00	1976-06-09T00:00:00	Mark Antony	Keith Baxter	Robin Phillips	Stratford Festival	Festival Theatre (Canada)	male	none	yes	
1925-05-26T00:00:00	1977-01-01T00:00:00	Antony	Alec Mccowen	Toby Robertson	unknown production company	Old Vic, London	unknown	unknown		
person not found on wiki	1977-03-17T00:00:00	Mark Antony	Mark Mcmanus	John Schlesinger	National Theatre	Olivier Theatre, National Theatre	unknown	unknown		
1941-10-22T00:00:00	1977-09-16T00:00:00	Mark Antony	Charles Keating	Peter Dews	Chichester Festival Theatre Production	Chichester Festival Theatre	male	none		
no birthday on article	1978-08-15T00:00:00	Mark Antony	Stephen Russell	John Wood	Stratford Festival	Festival Theatre (Canada)	male	none	yes	
1937-08-05T00:00:00	1978-10-10T00:00:00	Mark Antony	Alan Mackenzie Howard	Peter Brook	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	unknown	unknown		
1937-08-05T00:00:00	1978-10-10T00:00:00	Mark Antony	Alan Howard	Peter Brook	Royal Shakespeare Company	The Royal Shakespeare Theatre, Stratford-upon-Avon	male	none	yes	
1938-12-19T00:00:00	1979-01-25T00:00:00	Marc Antony	Jaime Sanchez	Michael Langham	Joseph Papp Public Theater/New York Shakespeare Festival	Joseph Papp Public Theater/Anspacher Theater	male	none	yes	
